SKU,QtdEstoque,DataSnapshot,Laboratorio
313,0,20/01/2026,BH Shopping
322,0,20/01/2026,BH Shopping
338,0,20/01/2026,BH Shopping
341,0,20/01/2026,BH Shopping
398,0,20/01/2026,BH Shopping
610,0,20/01/2026,BH Shopping
674,0,20/01/2026,BH Shopping
727,0,20/01/2026,BH Shopping
887,1,20/01/2026,BH Shopping
888,1,20/01/2026,BH Shopping
889,0,20/01/2026,BH Shopping
890,0,20/01/2026,BH Shopping
1049,0,20/01/2026,BH Shopping
1100,0,20/01/2026,BH Shopping
1109,2,20/01/2026,BH Shopping
1119,0,20/01/2026,BH Shopping
1276,0,20/01/2026,BH Shopping
1277,0,20/01/2026,BH Shopping
1362,0,20/01/2026,BH Shopping
1363,0,20/01/2026,BH Shopping
1367,0,20/01/2026,BH Shopping
1368,0,20/01/2026,BH Shopping
1405,0,20/01/2026,BH Shopping
1438,0,20/01/2026,BH Shopping
1499,0,20/01/2026,BH Shopping
1526,0,20/01/2026,BH Shopping
1712,0,20/01/2026,BH Shopping
1941,0,20/01/2026,BH Shopping
2197,0,20/01/2026,BH Shopping
2200,0,20/01/2026,BH Shopping
2202,0,20/01/2026,BH Shopping
2207,0,20/01/2026,BH Shopping
2208,0,20/01/2026,BH Shopping
2217,0,20/01/2026,BH Shopping
2398,0,20/01/2026,BH Shopping
2403,0,20/01/2026,BH Shopping
2617,0,20/01/2026,BH Shopping
2646,0,20/01/2026,BH Shopping
2693,0,20/01/2026,BH Shopping
2697,0,20/01/2026,BH Shopping
2721,0,20/01/2026,BH Shopping
2723,0,20/01/2026,BH Shopping
2725,1,20/01/2026,BH Shopping
2811,0,20/01/2026,BH Shopping
2842,0,20/01/2026,BH Shopping
2844,0,20/01/2026,BH Shopping
2845,0,20/01/2026,BH Shopping
2867,0,20/01/2026,BH Shopping
2881,0,20/01/2026,BH Shopping
2930,0,20/01/2026,BH Shopping
3056,0,20/01/2026,BH Shopping
3065,0,20/01/2026,BH Shopping
3099,0,20/01/2026,BH Shopping
3147,2,20/01/2026,BH Shopping
3190,0,20/01/2026,BH Shopping
3406,0,20/01/2026,BH Shopping
3462,0,20/01/2026,BH Shopping
3532,0,20/01/2026,BH Shopping
3533,2,20/01/2026,BH Shopping
3554,0,20/01/2026,BH Shopping
3555,0,20/01/2026,BH Shopping
3556,0,20/01/2026,BH Shopping
3573,0,20/01/2026,BH Shopping
3746,0,20/01/2026,BH Shopping
3747,3,20/01/2026,BH Shopping
3751,0,20/01/2026,BH Shopping
3800,3,20/01/2026,BH Shopping
3823,0,20/01/2026,BH Shopping
3825,0,20/01/2026,BH Shopping
3871,0,20/01/2026,BH Shopping
3882,0,20/01/2026,BH Shopping
3901,0,20/01/2026,BH Shopping
3904,0,20/01/2026,BH Shopping
3905,0,20/01/2026,BH Shopping
3906,0,20/01/2026,BH Shopping
3969,0,20/01/2026,BH Shopping
4028,0,20/01/2026,BH Shopping
4030,0,20/01/2026,BH Shopping
4031,0,20/01/2026,BH Shopping
4032,0,20/01/2026,BH Shopping
4033,0,20/01/2026,BH Shopping
4034,0,20/01/2026,BH Shopping
4035,0,20/01/2026,BH Shopping
4054,0,20/01/2026,BH Shopping
4111,0,20/01/2026,BH Shopping
4112,0,20/01/2026,BH Shopping
4113,0,20/01/2026,BH Shopping
4114,0,20/01/2026,BH Shopping
4140,0,20/01/2026,BH Shopping
4141,0,20/01/2026,BH Shopping
4147,0,20/01/2026,BH Shopping
4148,0,20/01/2026,BH Shopping
4149,0,20/01/2026,BH Shopping
4160,0,20/01/2026,BH Shopping
4310,0,20/01/2026,BH Shopping
4312,0,20/01/2026,BH Shopping
4325,0,20/01/2026,BH Shopping
4347,0,20/01/2026,BH Shopping
4348,3,20/01/2026,BH Shopping
4349,2,20/01/2026,BH Shopping
4350,0,20/01/2026,BH Shopping
4351,0,20/01/2026,BH Shopping
4352,5,20/01/2026,BH Shopping
4353,5,20/01/2026,BH Shopping
4354,0,20/01/2026,BH Shopping
4355,0,20/01/2026,BH Shopping
4356,0,20/01/2026,BH Shopping
4357,0,20/01/2026,BH Shopping
4358,0,20/01/2026,BH Shopping
4359,0,20/01/2026,BH Shopping
4362,3,20/01/2026,BH Shopping
4363,3,20/01/2026,BH Shopping
4364,0,20/01/2026,BH Shopping
4365,6,20/01/2026,BH Shopping
4366,2,20/01/2026,BH Shopping
4367,2,20/01/2026,BH Shopping
4368,1,20/01/2026,BH Shopping
4372,0,20/01/2026,BH Shopping
4380,1,20/01/2026,BH Shopping
4382,0,20/01/2026,BH Shopping
4395,0,20/01/2026,BH Shopping
4434,3,20/01/2026,BH Shopping
4456,2,20/01/2026,BH Shopping
4457,1,20/01/2026,BH Shopping
4459,0,20/01/2026,BH Shopping
4460,0,20/01/2026,BH Shopping
4497,1,20/01/2026,BH Shopping
4499,0,20/01/2026,BH Shopping
4550,0,20/01/2026,BH Shopping
4600,0,20/01/2026,BH Shopping
4658,2,20/01/2026,BH Shopping
4660,0,20/01/2026,BH Shopping
4687,0,20/01/2026,BH Shopping
4688,0,20/01/2026,BH Shopping
4700,0,20/01/2026,BH Shopping
4725,0,20/01/2026,BH Shopping
4726,0,20/01/2026,BH Shopping
4727,1,20/01/2026,BH Shopping
4728,3,20/01/2026,BH Shopping
4750,0,20/01/2026,BH Shopping
4882,0,20/01/2026,BH Shopping
4980,0,20/01/2026,BH Shopping
4981,2,20/01/2026,BH Shopping
5049,0,20/01/2026,BH Shopping
5702,0,20/01/2026,BH Shopping
5703,0,20/01/2026,BH Shopping
5704,1,20/01/2026,BH Shopping
5705,1,20/01/2026,BH Shopping
6332,0,20/01/2026,BH Shopping
8144,2,20/01/2026,BH Shopping
8145,0,20/01/2026,BH Shopping
