SKU,QtdEstoque,Local
338,4,Matriz
398,2,Matriz
727,2,Matriz
887,3,Matriz
888,37,Matriz
1049,2,Matriz
1057,10,Matriz
1058,2,Matriz
1109,20,Matriz
1119,6,Matriz
1276,3,Matriz
1277,5,Matriz
1362,2,Matriz
1363,2,Matriz
1367,3,Matriz
1405,42,Matriz
1526,10,Matriz
1712,2,Matriz
2200,4,Matriz
2202,16,Matriz
2207,2,Matriz
2208,4,Matriz
2217,1,Matriz
2398,8,Matriz
2403,7,Matriz
2617,123,Matriz
2646,5,Matriz
2693,6,Matriz
2697,63,Matriz
2725,2,Matriz
2811,16,Matriz
2842,72,Matriz
2844,9,Matriz
2845,6,Matriz
3056,18,Matriz
3065,103,Matriz
3099,28,Matriz
3147,3,Matriz
3190,2,Matriz
3406,2,Matriz
3462,2,Matriz
3533,3,Matriz
3555,6,Matriz
3556,1,Matriz
3751,11,Matriz
3800,8,Matriz
3823,8,Matriz
3882,17,Matriz
3901,1,Matriz
3904,65,Matriz
3905,42,Matriz
3969,33,Matriz
4028,8,Matriz
4030,32,Matriz
4032,1,Matriz
4033,2,Matriz
4034,2,Matriz
4035,2,Matriz
4140,6,Matriz
4147,2,Matriz
4151,20,Matriz
4310,1,Matriz
4312,4,Matriz
4348,26,Matriz
4349,35,Matriz
4351,3,Matriz
4352,19,Matriz
4353,48,Matriz
4354,2,Matriz
4355,6,Matriz
4356,5,Matriz
4358,3,Matriz
4359,1,Matriz
4362,21,Matriz
4363,22,Matriz
4364,2,Matriz
4365,31,Matriz
4366,5,Matriz
4367,47,Matriz
4368,7,Matriz
4380,7,Matriz
4382,11,Matriz
4395,16,Matriz
4434,24,Matriz
4456,13,Matriz
4457,3,Matriz
4460,7,Matriz
4497,2,Matriz
4658,20,Matriz
4660,1,Matriz
4686,11,Matriz
4687,61,Matriz
4688,38,Matriz
4725,6,Matriz
4726,3,Matriz
4727,6,Matriz
4728,2,Matriz
4921,20,Matriz
4922,17,Matriz
4980,1,Matriz
4981,16,Matriz
5049,30,Matriz
5702,3,Matriz
5703,5,Matriz
5704,2,Matriz
5705,5,Matriz
8144,3,Matriz
8145,38,Matriz
8146,31,Matriz
8152,6,Matriz
8153,46,Matriz
8154,4,Matriz
8157,5,Matriz
8158,3,Matriz
8159,2,Matriz
8520,5,Matriz
8521,7,Matriz
20715,1,Matriz
20716,2,Matriz
20719,6,Matriz
20720,14,Matriz
20721,18,Matriz
20722,25,Matriz
20723,43,Matriz
20737,8,Matriz
20755,3,Matriz
20790,75,Matriz
20791,87,Matriz
20792,198,Matriz
20793,68,Matriz
20875,17,Matriz
20877,15,Matriz
20884,39,Matriz
20885,24,Matriz
20886,27,Matriz
20990,35,Matriz
21069,27,Matriz
21080,8,Matriz
21113,36,Matriz
21149,25,Matriz
21191,3,Matriz
21227,8,Matriz
21267,3,Matriz
21279,12,Matriz
21289,16,Matriz
21290,5,Matriz
21295,6,Matriz
21296,2,Matriz
21299,7,Matriz
21300,4,Matriz
21305,12,Matriz
21307,2,Matriz
21309,10,Matriz
21311,2,Matriz
21312,1,Matriz
21313,3,Matriz
21315,5,Matriz
21316,37,Matriz
21317,5,Matriz
21383,2,Matriz
21414,14,Matriz
21458,12,Matriz
21462,9,Matriz
21463,2,Matriz
21464,15,Matriz
21467,6,Matriz
21492,6,Matriz
21511,1,Matriz
21512,1,Matriz
21513,3,Matriz
21514,1,Matriz
21547,5,Matriz
21557,2,Matriz
21574,1,Matriz
21576,2,Matriz
21582,1,Matriz
21583,10,Matriz
21601,2,Matriz
21691,2,Matriz
21694,70,Matriz
21698,7,Matriz
21710,2,Matriz
21905,6,Matriz
21913,10,Matriz
21914,18,Matriz
21915,17,Matriz
21920,8,Matriz
21921,31,Matriz
21923,3,Matriz
21925,1,Matriz
21926,1,Matriz
21927,19,Matriz
21977,1,Matriz
22002,1,Matriz
22101,5,Matriz
22102,5,Matriz
22103,5,Matriz
22114,1,Matriz
22307,1,Matriz
22314,5,Matriz
22403,3,Matriz
22417,5,Matriz
22492,2,Matriz
22515,15,Matriz
22547,5,Matriz
22590,4,Matriz
22597,4,Matriz
22666,1,Matriz
22667,1,Matriz
22668,2,Matriz
22859,7,Matriz
22870,1,Matriz
22980,1,Matriz
22987,10,Matriz
22990,1,Matriz
23003,2,Matriz
23004,2,Matriz
23005,1,Matriz
23011,1,Matriz
23018,5,Matriz
23019,4,Matriz
23020,1,Matriz
23024,2,Matriz
23061,11,Matriz
23062,70,Matriz
23063,4,Matriz
23064,66,Matriz
23065,8,Matriz
23066,68,Matriz
23067,19,Matriz
23083,3,Matriz
23189,9,Matriz
23269,1,Matriz
23285,2,Matriz
23286,1,Matriz
23321,8,Matriz
23341,32,Matriz
23342,10,Matriz
23397,5,Matriz
23475,8,Matriz
23590,4,Matriz
23703,1,Matriz
23720,1,Matriz
23725,3,Matriz
23807,6,Matriz
23810,15,Matriz
23813,5,Matriz
23817,4,Matriz
23828,2,Matriz
23830,1,Matriz
23887,1,Matriz
23893,2,Matriz
23895,10,Matriz
23897,1,Matriz
23898,7,Matriz
23899,8,Matriz
23900,10,Matriz
23901,7,Matriz
23902,14,Matriz
23904,2,Matriz
23905,7,Matriz
23906,3,Matriz
23907,7,Matriz
23908,5,Matriz
23909,3,Matriz
23910,20,Matriz
23911,5,Matriz
23912,7,Matriz
23913,2,Matriz
23915,29,Matriz
23916,10,Matriz
23917,3,Matriz
23918,6,Matriz
23919,10,Matriz
23921,12,Matriz
23922,2,Matriz
23923,5,Matriz
23924,2,Matriz
23925,14,Matriz
23926,2,Matriz
23927,7,Matriz
23928,5,Matriz
23929,8,Matriz
23930,5,Matriz
23931,5,Matriz
23932,11,Matriz
23934,5,Matriz
23935,19,Matriz
23936,4,Matriz
23937,4,Matriz
23938,19,Matriz
23939,8,Matriz
23941,10,Matriz
23942,5,Matriz
23944,8,Matriz
23945,4,Matriz
23946,5,Matriz
23947,9,Matriz
23948,9,Matriz
23949,5,Matriz
23950,12,Matriz
23951,10,Matriz
23952,14,Matriz
23955,8,Matriz
23956,1,Matriz
23960,11,Matriz
23961,20,Matriz
23962,20,Matriz
23964,18,Matriz
23965,25,Matriz
23966,12,Matriz
23967,6,Matriz
23968,4,Matriz
23969,20,Matriz
23971,11,Matriz
23972,1,Matriz
23973,1,Matriz
23974,35,Matriz
23975,8,Matriz
23976,3,Matriz
