ID_Loja,Nome_Fantasia,Nome_Sistema,UF,Cidade,Dias_Atendimento,Tempo_de_Entrega
111,Shopping Barra,Shopping Barra,BA,Salvador,Terça-Feira,1
239,Shopping Bela Vista,Shopping Bela Vista,BA,Salvador,Quarta-Feira,1
198,BH Shopping,BH Shopping,MG,Belo Horizonte,Sexta-Feira,5
288,Shopping Belem Boulevard,Shopping Belem Boulevard,PA,Belém,Segunda-Feira,5
185,Shopping Iguatemi Fortaleza,Shopping Iguatemi Fortaleza,CE,Fortaleza,Terça-Feira,5
131,Parque Shopping Maceio,Parque Shopping Maceio,AL,Maceio,Quarta-Feira,5
93,Shopping Paralela,Shopping Paralela,BA,Salvador,Terça-Feira,1
346,Parque Shopping Bahia,Parque Shopping Bahia,BA,Lauro de Freitas,Quarta-Feira,1
175,Shopping Rio de Janeiro,Shopping Rio de Janeiro,RJ,Rio de Janeiro,Sexta-Feira,5
96,Shopping Recife Riomar,Shopping Recife Riomar,PE,Recife,Quinta-Feira,5
79,Salvador Shopping,Salvador Shopping,BA,Salvador,Terça-Feira,1
87,Shopping da Bahia,Shopping da Bahia,BA,Salvador,Quinta-Feira,1
409,Shopping Manauara,Shopping Manauara,AM,Manaus,Segunda-Feira,7
366,Shopping Recife,Shopping Recife,PE,Recife,Quinta-Feira,5
344,Shopping Vila Velha,Shopping Vila Velha,ES,Vila Velha,Segunda-Feira,4
343,Shopping Vitoria,Shopping Vitoria,ES,Vitoria,Segunda-Feira,4
89,Shopping Edmilson,Shopping Edmilson,BA,Salvador,Segunda-Feira,1
308,Maceio Shopping,Maceio Shopping,AL,Maceio,Quarta-Feira,5
