SKU,DataCadastroSistema,Categoria,DescricaoProduto,MarcaAparelho,Origem,PrecoVenda
1,2011-02-18,Capas,Capa iPhone 3G/s Espiral,Apple,Estrangeira - Importação direta,60
2,2011-02-18,Capas,Capa Preta silicone 8900,Android,Estrangeira - Importação direta,50
3,2011-02-18,Capas,Silicone iphone escrita,Apple,Estrangeira - Importação direta,0
4,2011-02-18,Capas,Capa Preta Acrílico 8900,Android,Estrangeira - Importação direta,50
5,2011-02-18,Capas,Capa iPhone 3G/s Espiral Transparente,Apple,Estrangeira - Importação direta,60
6,2011-02-18,Capas,Capa Azul Acrílico 8900,Android,Estrangeira - Importação direta,50
7,2011-02-18,Capas,Capa iPhone 3G/s Circular Transparente,Apple,Estrangeira - Importação direta,60
8,2011-02-18,Capas,Capa Azul Acrílico Bold 9000,Android,Estrangeira - Importação direta,55
9,2011-02-18,Capas,Capa iPhone 3G/s Espiral Branca,Apple,Estrangeira - Importação direta,60
10,2011-02-18,Capas,Capa Preta Acrílico Bold 9000,Android,Estrangeira - Importação direta,55
11,2011-02-18,Capas,Capa Circular Escura 3G/s,Android,Estrangeira - Importação direta,45
12,2011-02-18,Sem Categoria,Trackball Preto,Android,Estrangeira - Importação direta,150
13,2011-02-18,Capas,Capa Silicone Vermelha Bold 9000,Android,Estrangeira - Importação direta,50
14,2011-02-18,Capas,Capa Silicone Transparente Bold 9000,Android,Estrangeira - Importação direta,55
15,2011-02-18,Sem Categoria,,Android,Estrangeira - Importação direta,0
16,2011-02-18,Capas,Capa Silicone Roxa Bold 9000,Android,Estrangeira - Importação direta,50
17,2011-02-18,Capas,Capa Silicone Preta Bold 9000,Android,Estrangeira - Importação direta,55
18,2011-02-18,Capas,Capa Silicone Preta Bold 9700/9020,Android,Estrangeira - Importação direta,50
19,2011-02-18,Sem Categoria,Pelicula Bold 9000 Brilhante,Android,Estrangeira - Importação direta,40
20,2011-02-18,Sem Categoria,Carcaça Frente e Fundo 83XX - Preta,Android,Estrangeira - Importação direta,100
21,2011-02-18,Capas,Capa iPhone 3G/s couro branca vertical,Apple,Estrangeira - Importação direta,60
22,2011-02-18,Sem Categoria,Carcaça Frente e Fundo 83XX - Vermelha,Android,Estrangeira - Importação direta,100
23,2011-02-18,Sem Categoria,Carcaça Frente e Fundo 83XX - Rosa,Android,Estrangeira - Importação direta,99
24,2011-02-18,Sem Categoria,Carcaça Frente e Fundo 83XX - Grafite,Android,Estrangeira - Importação direta,100
